סמל היישוב,שם יישוב,מחוז,נפה,צורת יישוב,מעמד מוניציפלי,אזור טבעי,אוכלוסייה - סך הכל,מזה: יהודים ואחרים,מזה: יהודים,מזה: ערבים,אשכול רשויות מקומיות
3613,גיתית,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,ערבות הירדן,,497,497,490,-,אשכול יהודה ושומרון           
393,גלאון,הדרום,אשקלון,קיבוצים,יואב,אזור מלאכי,595,595,571,-,אשכול רשויות שורק דרומי       
627,ג'לג'וליה,המרכז,פתח תקווה,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,דרום השרון,"10,357",164,125,"10,193",אשכול רשויות השרון            
3606,גלגל,יהודה והשומרון,,קיבוצים,ערבות הירדן,,217,192,174,25,אשכול יהודה ושומרון           
346,גליל ים,תל אביב,תל אביב,קיבוצים,חוף השרון,אזור תל אביב,541,541,536,-,
369,גלעד (אבן יצחק),הצפון,יזרעאל,קיבוצים,מגידו,רמת מנשה,499,498,484,1,אשכול רשויות הגליל והעמקים    
745,גמזו,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור מודיעין,"1,213","1,213","1,213",-,
1072,גן הדרום,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גדרות,אזור רחובות,637,637,626,-,
225,גן השומרון,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,מנשה,אזור חדרה,842,841,833,1,
239,גן חיים,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,דרום השרון,815,813,801,2,אשכול רשויות השרון            
734,גן יאשיה,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מזרח השרון,"1,009","1,009",995,-,
166,גן יבנה,המרכז,רחובות,יישובים יהודיים 49999-20000 תושבים,מועצה מקומית,אזור רחובות,"23,925","23,851","23,094",74,
1274,גן נר,הצפון,יזרעאל,יישובים יהודיים 4999-2000 תושבים,הגלבוע,עמק חרוד,"2,709","2,704","2,621",5,אשכול רשויות הגליל והעמקים    
311,גן שורק,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גן רווה,אזור ראשון לציון,701,701,701,-,
144,גן שלמה,המרכז,רחובות,קיבוצים,ברנר,אזור רחובות,596,596,553,-,אשכול רשויות שורק דרומי       
72,גן שמואל,חיפה,חדרה,קיבוצים,מנשה,אזור חדרה,942,941,924,1,
836,גנות,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,שדות דן,אזור רמלה,592,592,586,-,
549,גנות הדר,המרכז,השרון,יישובים כפריים אחרים יהודיים,לב השרון,מערב השרון,965,965,951,-,אשכול רשויות השרון            
1103,גני הדר,המרכז,רמלה,יישובים כפריים אחרים יהודיים,גזר,אזור רמלה,357,357,355,-,
1371,גני טל,המרכז,רחובות,יישובים קהילתיים,נחל שורק,אזור רחובות,898,898,898,-,אשכול רשויות שורק דרומי       
862,גני יוחנן,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גזר,אזור רחובות,608,608,598,-,
3823,גני מודיעין,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מטה בנימין,,"2,716","2,715","2,707",1,אשכול יהודה ושומרון           
218,גני עם,המרכז,פתח תקווה,יישובים כפריים אחרים יהודיים,דרום השרון,דרום השרון,233,233,230,-,אשכול רשויות השרון            
229,גני תקווה,המרכז,פתח תקווה,יישובים יהודיים 49999-20000 תושבים,מועצה מקומית,אזור פתח תקווה,"21,551","21,536","21,215",15,
541,ג'סר א-זרקא,חיפה,חדרה,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור חדרה,"15,128",15,-,"15,113",
842,געש,המרכז,השרון,קיבוצים,חוף השרון,מערב השרון,874,874,863,-,
463,געתון,הצפון,עכו,קיבוצים,מטה אשר,אזור יחיעם,693,691,675,2,אשכול רשויות גליל מערבי       
39,גפן,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,414,414,412,-,
1129,גרופית,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,242,241,225,1,אשכול רשויות נגב מזרחי        
487,ג'ש (גוש חלב),הצפון,צפת,יישובים לא יהודיים 4999-2000 תושבים,מועצה מקומית,גליל עליון מזרחי,"3,127",10,6,"3,117",אשכול רשויות גליל מזרחי       
4022,גשור,הצפון,גולן,קיבוצים,גולן,גולן דרומי,289,289,279,-,אשכול רשויות גליל מזרחי       
305,גשר,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,423,421,405,2,אשכול רשויות הכנרת והעמקים    
574,גשר הזיו,הצפון,עכו,קיבוצים,מטה אשר,אזור נהרייה,"1,624","1,615","1,579",9,אשכול רשויות גליל מערבי       
628,ג'ת,חיפה,חדרה,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור חדרה,"12,269",11,3,"12,258",
340,גת (קיבוץ),הדרום,אשקלון,קיבוצים,יואב,אזור מלאכי,929,929,896,-,אשכול רשויות שורק דרומי       
128,גת רימון,המרכז,פתח תקווה,יישובים כפריים אחרים יהודיים,דרום השרון,אזור פתח תקווה,322,322,313,-,אשכול רשויות השרון            
494,דאלית אל-כרמל,חיפה,חיפה,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור חיפה,"17,865",50,34,"17,815",אשכול רשויות המפרץ            
146,דבורה,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,הגלבוע,עמק יזרעאל,208,208,207,-,אשכול רשויות הגליל והעמקים    
489,דבורייה,הצפון,יזרעאל,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,הרי נצרת-תירען,"10,681",7,4,"10,674",אשכול רשויות הגליל והעמקים    
849,דבירה,הדרום,באר שבע,קיבוצים,בני שמעון,אזור באר שבע,"1,042","1,039","1,015",3,אשכול רשויות נגב מערבי        
407,דברת,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,עמק יזרעאל,522,522,490,-,אשכול רשויות הגליל והעמקים    
62,דגניה א',הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,525,524,520,1,אשכול רשויות הכנרת והעמקים    
79,דגניה ב',הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,673,673,664,-,אשכול רשויות הכנרת והעמקים    
1067,"דוב""ב",הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מרום הגליל,אזור אילון,478,478,474,-,אשכול רשויות גליל מזרחי       
3747,דולב,יהודה והשומרון,,יישובים קהילתיים,מטה בנימין,,"1,513","1,513","1,513",-,אשכול יהודה ושומרון           
738,דור,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,חוף הכרמל,חוף הכרמל,448,448,443,-,
336,דורות,הדרום,אשקלון,קיבוצים,שער הנגב,אזור אשקלון,851,850,822,1,אשכול רשויות נגב מערבי        
475,דחי,הצפון,יזרעאל,יישובים כפריים אחרים לא יהודיים,בוסתן אל-מרג',עמק יזרעאל,715,-,-,715,אשכול רשויות הגליל והעמקים    
490,דייר אל-אסד,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור כרמיאל,"12,734",6,5,"12,728",אשכול רשויות בית הכרם הגלילי  
492,דייר חנא,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור שפרעם,"10,486",15,-,"10,471",
493,דייר ראפאת,ירושלים,ירושלים,יישובים מוסדיים לא יהודיים,מטה יהודה,שפלת יהודה,103,1,-,102,
2200,דימונה,הדרום,באר שבע,יישובים יהודיים 49999-20000 תושבים,עירייה,הר הנגב הצפוני,"35,270","35,050","31,696",220,אשכול רשויות נגב מזרחי        
2063,דישון,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,גליל עליון מזרחי,338,337,331,1,אשכול רשויות גליל מזרחי       
300,דלייה,הצפון,יזרעאל,קיבוצים,מגידו,רמת מנשה,846,846,784,-,אשכול רשויות הגליל והעמקים    
431,דלתון,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,866,866,866,-,אשכול רשויות גליל מזרחי       
1317,דמיידה,הצפון,עכו,יישובים כפריים אחרים לא יהודיים,משגב,אזור שפרעם,536,-,-,536,אשכול רשויות בית הכרם הגלילי  
303,דן,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,762,761,741,1,אשכול רשויות גליל מזרחי       
302,דפנה,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,987,986,975,1,אשכול רשויות גליל מזרחי       
1241,דקל,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,אשכול,אזור בשור,362,362,354,-,אשכול רשויות נגב מערבי        
1349,דריג'את,הדרום,באר שבע,יישובים כפריים אחרים לא יהודיים,אל קסום,אזור באר שבע,"1,275",3,-,"1,272",אשכול רשויות נגב מזרחי        
702,האון,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,177,177,162,-,אשכול רשויות הכנרת והעמקים    
675,הבונים,חיפה,חדרה,מושבים שיתופיים,חוף הכרמל,חוף הכרמל,370,370,367,-,
356,הגושרים,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,917,917,875,-,אשכול רשויות גליל מזרחי       
191,הדר עם,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,692,692,689,-,
9700,הוד השרון,המרכז,פתח תקווה,יישובים יהודיים 99999-50000 תושבים,עירייה,דרום השרון,"64,490","64,450","63,016",40,אשכול רשויות השרון            
1322,הודיות,הצפון,כנרת,יישובים מוסדיים יהודיים,הגליל התחתון,גליל תחתון מזרחי,302,302,176,-,אשכול רשויות הכנרת והעמקים    
726,הודייה,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,חוף אשקלון,אזור אשקלון,591,590,574,1,
1186,הושעיה,הצפון,יזרעאל,יישובים יהודיים 4999-2000 תושבים,עמק יזרעאל,הרי נצרת-תירען,"2,095","2,095","2,095",-,אשכול רשויות הגליל והעמקים    
250,הזורע,הצפון,יזרעאל,קיבוצים,מגידו,אזור יקנעם,922,922,880,-,אשכול רשויות הגליל והעמקים    
307,הזורעים,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,הגליל התחתון,גליל תחתון מזרחי,"1,081","1,081","1,079",-,אשכול רשויות הכנרת והעמקים    
434,החותרים,חיפה,חדרה,קיבוצים,חוף הכרמל,חוף הכרמל,875,874,855,1,
684,היוגב,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק יזרעאל,עמק יזרעאל,745,745,738,-,אשכול רשויות הגליל והעמקים    
1208,הילה,הצפון,עכו,יישובים קהילתיים,מעלה יוסף,אזור יחיעם,579,578,565,1,אשכול רשויות גליל מערבי       
377,המעפיל,המרכז,השרון,קיבוצים,עמק חפר,מזרח השרון,859,859,850,-,
1751,המרכז למחקר-נחל שורק,המרכז,רחובות,מוקד תעסוקה,,אזור ראשון לציון,-,-,-,-,
677,הסוללים,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,הרי נצרת-תירען,962,959,940,3,אשכול רשויות הגליל והעמקים    
423,העוגן,המרכז,השרון,קיבוצים,עמק חפר,מערב השרון,932,932,899,-,
3769,הר אדר,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,,"4,084","4,077","3,971",7,אשכול יהודה ושומרון           
3603,הר גילה,יהודה והשומרון,,יישובים קהילתיים,גוש עציון,,"1,625","1,606","1,565",19,
1261,הר עמשא,הדרום,באר שבע,קיבוצים,תמר,אזור באר שבע,220,215,191,5,
464,הראל,ירושלים,ירושלים,קיבוצים,מטה יהודה,שפלת יהודה,257,257,242,-,
1249,הרדוף,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,הרי נצרת-תירען,"1,105","1,101","1,051",4,אשכול רשויות הגליל והעמקים    
6400,הרצלייה,תל אביב,תל אביב,יישובים יהודיים 99999-50000 תושבים,עירייה,אזור תל אביב,"98,965","98,803","93,940",162,
1203,הררית,הצפון,עכו,יישובים קהילתיים,משגב,אזור שפרעם,586,586,566,-,אשכול רשויות בית הכרם הגלילי  
3639,ורד יריחו,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,מגילות ים המלח,,360,360,351,-,אשכול יהודה ושומרון           
1133,ורדון,הדרום,אשקלון,יישובים כפריים אחרים יהודיים,יואב,אזור מלאכי,273,273,264,-,אשכול רשויות שורק דרומי       
815,זבדיאל,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,שפיר,אזור מלאכי,574,574,574,-,
44,זוהר,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,לכיש,אזור לכיש,356,356,353,-,
584,זיקים,הדרום,אשקלון,קיבוצים,חוף אשקלון,אזור אשקלון,856,840,801,16,
788,זיתן,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,שדות דן,אזור רמלה,"1,038","1,038","1,035",-,
9300,זכרון יעקב,חיפה,חדרה,יישובים יהודיים 49999-20000 תושבים,מועצה מקומית,אזור זכרון יעקב,"23,438","23,380","22,507",58,
799,זכריה,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,"1,103","1,102","1,073",1,
1290,זמר,המרכז,השרון,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,מזרח השרון,"7,252",6,-,"7,246",
1065,זמרת,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,648,647,646,1,אשכול רשויות נגב מערבי        
816,זנוח,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,541,526,517,15,
2064,זרועה,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,500,499,493,1,אשכול רשויות נגב מערבי        
975,זרזיר,הצפון,יזרעאל,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,הרי נצרת-תירען,"8,275",19,12,"8,256",אשכול רשויות הגליל והעמקים    
818,זרחיה,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,שפיר,אזור מלאכי,740,740,740,-,
235,חבצלת השרון,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,488,488,473,-,
1110,חבר,הצפון,יזרעאל,יישובים כפריים אחרים יהודיים,הגלבוע,עמק יזרעאל,677,677,649,-,אשכול רשויות הגליל והעמקים    
717,חגור,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,דרום השרון,"1,142","1,142","1,131",-,אשכול רשויות השרון            
3764,חגי,יהודה והשומרון,,יישובים קהילתיים,הר חברון,,676,676,676,-,
205,חגלה,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,864,864,859,-,
618,חדיד,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור רמלה,903,903,900,-,
4026,חד-נס,הצפון,גולן,יישובים קהילתיים,גולן,גולן תיכוני,853,853,803,-,אשכול רשויות גליל מזרחי       
6500,חדרה,חיפה,חדרה,יישובים יהודיים 99999-50000 תושבים,עירייה,אזור חדרה,"98,908","97,962","90,624",946,
1321,ח'ואלד,חיפה,חיפה,יישובים כפריים אחרים לא יהודיים,זבולון,אזור חיפה,710,-,-,710,אשכול רשויות המפרץ            
160,חולדה,המרכז,רמלה,קיבוצים,גזר,אזור רמלה,"1,134","1,134","1,123",-,
6600,חולון,תל אביב,,יישובים יהודיים 199999-100000 תושבים,עירייה,אזור חולון,"197,247","196,926","180,449",321,
1239,חולית,הדרום,באר שבע,קיבוצים,אשכול,אזור בשור,205,200,192,5,אשכול רשויות נגב מערבי        
253,חולתה,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,704,703,688,1,אשכול רשויות גליל מזרחי       
662,חוסן,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור יחיעם,"1,176","1,174","1,125",2,אשכול רשויות גליל מערבי       
1332,חוסנייה,הצפון,עכו,יישובים כפריים אחרים לא יהודיים,משגב,אזור כרמיאל,801,5,-,796,אשכול רשויות בית הכרם הגלילי  
115,חופית,המרכז,השרון,יישובים כפריים אחרים יהודיים,עמק חפר,מערב השרון,801,801,789,-,
374,חוקוק,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,602,596,567,6,אשכול רשויות הכנרת והעמקים    
1303,חורה,הדרום,באר שבע,יישובים לא יהודיים 49999-20000 תושבים,מועצה מקומית,אזור באר שבע,"23,102",27,16,"23,075",אשכול רשויות נגב מזרחי        
496,חורפיש,הצפון,עכו,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,אזור אילון,"6,490",1,-,"6,489",אשכול רשויות גליל מערבי       
355,חורשים,המרכז,פתח תקווה,קיבוצים,דרום השרון,דרום השרון,339,334,325,5,אשכול רשויות השרון            
1047,חזון,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל תחתון מרכזי,296,296,296,-,אשכול רשויות גליל מזרחי       
219,חיבת ציון,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,806,806,801,-,
3643,חיננית,יהודה והשומרון,יהודה ושומרון,יישובים קהילתיים,שומרון,,"1,477","1,477","1,309",-,
4000,חיפה,חיפה,חיפה,יישובים יהודיים 499999-200000 תושבים,עירייה,אזור חיפה,"283,736","249,773","213,859","33,963",
162,חירות,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,לב השרון,מערב השרון,"1,266","1,260","1,252",6,אשכול רשויות השרון            
1272,חלוץ,הצפון,עכו,יישובים קהילתיים,משגב,אזור יחיעם,534,532,520,2,אשכול רשויות בית הכרם הגלילי  
820,חלץ,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,חוף אשקלון,אזור אשקלון,478,474,470,4,
801,"חמ""ד",המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,שדות דן,אזור רמלה,"1,316","1,316","1,313",-,
993,חמאם,הצפון,כנרת,יישובים כפריים אחרים לא יהודיים,אל-בטוף,כנרות,"1,530",2,2,"1,528",אשכול רשויות הכנרת והעמקים    
343,חמדיה,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,404,402,391,2,אשכול רשויות הכנרת והעמקים    
3646,חמדת,יהודה והשומרון,,יישובים קהילתיים,ערבות הירדן,,310,310,310,-,אשכול יהודה ושומרון           
3609,חמרה,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,ערבות הירדן,,259,259,250,-,אשכול יהודה ושומרון           
807,חניאל,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,924,924,902,-,
280,חניתה,הצפון,עכו,קיבוצים,מטה אשר,אזור אילון,747,746,716,1,אשכול רשויות גליל מערבי       
1257,חנתון,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,הרי נצרת-תירען,992,991,983,1,אשכול רשויות הגליל והעמקים    
4005,חספין,הצפון,גולן,יישובים יהודיים 4999-2000 תושבים,גולן,גולן דרומי,"2,007","2,007","2,005",-,אשכול רשויות גליל מזרחי       
363,חפץ חיים,המרכז,רחובות,קיבוצים,נחל שורק,אזור רחובות,557,557,557,-,אשכול רשויות שורק דרומי       
90,חפצי-בה,הצפון,יזרעאל,קיבוצים,הגלבוע,עמק חרוד,723,722,701,1,אשכול רשויות הגליל והעמקים    
700,חצב,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,507","1,507","1,480",-,אשכול רשויות שורק דרומי       
13,חצבה,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,הערבה התיכונה,הערבה,693,684,650,9,אשכול רשויות נגב מזרחי        
2034,חצור הגלילית,הצפון,צפת,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,אזור חצור,"9,568","9,531","9,304",37,אשכול רשויות גליל מזרחי       
406,חצור-אשדוד,הדרום,אשקלון,קיבוצים,באר טוביה,אזור מלאכי,649,649,626,-,אשכול רשויות שורק דרומי       
397,חצרים,הדרום,באר שבע,קיבוצים,בני שמעון,אזור באר שבע,850,850,831,-,אשכול רשויות נגב מערבי        
422,חרב לאת,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,929,929,911,-,
1024,חרוצים,המרכז,השרון,יישובים כפריים אחרים יהודיים,חוף השרון,מערב השרון,857,857,843,-,
1247,חריש,חיפה,חדרה,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,הר אלכסנדר,"19,568","19,277","17,804",291,
3717,חרמש,יהודה והשומרון,יהודה ושומרון,יישובים קהילתיים,שומרון,,230,230,210,-,
1209,חרשים,הצפון,עכו,יישובים קהילתיים,משגב,אזור יחיעם,356,356,338,-,אשכול רשויות בית הכרם הגלילי  
3770,חשמונאים,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מטה בנימין,,"2,712","2,712","2,706",-,אשכול יהודה ושומרון           
6700,טבריה,הצפון,כנרת,יישובים יהודיים 49999-20000 תושבים,עירייה,כנרות,"45,868","45,141","42,337",727,אשכול רשויות הכנרת והעמקים    
962,טובא-זנגרייה,הצפון,צפת,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,אזור חצור,"6,896",7,5,"6,889",אשכול רשויות גליל מזרחי       
498,טורעאן,הצפון,,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,הרי נצרת-תירען,"14,436",5,3,"14,431",אשכול רשויות הכנרת והעמקים    
2730,טייבה,המרכז,השרון,יישובים לא יהודיים 49999-20000 תושבים,עירייה,מזרח השרון,"44,585",53,24,"44,532",אשכול רשויות השרון            
497,טייבה (בעמק),הצפון,יזרעאל,יישובים כפריים אחרים לא יהודיים,הגלבוע,רמת כוכב,"1,919",5,5,"1,914",אשכול רשויות הגליל והעמקים    
2720,טירה,המרכז,השרון,יישובים לא יהודיים 49999-20000 תושבים,עירייה,מזרח השרון,"27,036",63,20,"26,973",אשכול רשויות השרון            
663,טירת יהודה,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור פתח תקווה,"1,236","1,236","1,235",-,
2100,טירת כרמל,חיפה,חיפה,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור חיפה,"24,296","24,184","22,886",112,אשכול רשויות המפרץ            
268,טירת צבי,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,923,923,922,-,אשכול רשויות הכנרת והעמקים    
462,טל שחר,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,"1,391","1,391","1,365",-,
1181,טל-אל,הצפון,עכו,יישובים קהילתיים,משגב,אזור יחיעם,"1,200","1,200","1,152",-,אשכול רשויות בית הכרם הגלילי  
1177,טללים,הדרום,באר שבע,קיבוצים,רמת נגב,הר הנגב הצפוני,561,561,539,-,אשכול רשויות נגב מזרחי        
3788,טלמון,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מטה בנימין,,"4,882","4,882","4,879",-,אשכול יהודה ושומרון           
8900,טמרה,הצפון,עכו,יישובים לא יהודיים 49999-20000 תושבים,עירייה,אזור שפרעם,"34,878",37,16,"34,841",אשכול רשויות המפרץ            
547,טמרה (יזרעאל),הצפון,יזרעאל,יישובים כפריים אחרים לא יהודיים,הגלבוע,רמת כוכב,"1,623",1,-,"1,622",אשכול רשויות הגליל והעמקים    
3743,טנא,יהודה והשומרון,,יישובים קהילתיים,הר חברון,,925,925,910,-,
1214,טפחות,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל תחתון מרכזי,509,509,509,-,אשכול רשויות גליל מזרחי       
1295,יאנוח-ג'ת,הצפון,עכו,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,אזור יחיעם,"6,775",2,2,"6,773",
1232,יבול,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,אשכול,אזור בשור,354,354,352,-,אשכול רשויות נגב מערבי        
46,יבנאל,הצפון,כנרת,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,גליל תחתון מזרחי,"4,333","4,331","4,274",2,אשכול רשויות הכנרת והעמקים    
2660,יבנה,המרכז,רחובות,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור רחובות,"49,835","49,781","48,384",54,
96,יגור,חיפה,חיפה,קיבוצים,זבולון,אזור חיפה,"1,637","1,637","1,535",-,אשכול רשויות המפרץ            
798,יגל,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,שדות דן,אזור רמלה,906,906,905,-,
577,יד בנימין,המרכז,רחובות,יישובים יהודיים 4999-2000 תושבים,נחל שורק,אזור רחובות,"4,253","4,253","4,251",-,אשכול רשויות שורק דרומי       
1134,יד השמונה,ירושלים,ירושלים,מושבים שיתופיים,מטה יהודה,הרי יהודה,293,293,136,-,
758,יד חנה,המרכז,השרון,קיבוצים,עמק חפר,מזרח השרון,959,958,937,1,
358,יד מרדכי,הדרום,אשקלון,קיבוצים,חוף אשקלון,אזור אשקלון,745,743,722,2,
775,יד נתן,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,לכיש,אזור לכיש,660,656,648,4,
64,"יד רמב""ם",המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,גזר,אזור רמלה,"1,120","1,120","1,098",-,
1144,ידידה,ירושלים,ירושלים,יישובים מוסדיים יהודיים,מטה יהודה,הרי יהודה,229,228,222,1,
9400,יהוד-מונוסון,המרכז,פתח תקווה,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור פתח תקווה,"30,020","29,986","29,400",34,
1158,יהל,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,233,233,212,-,אשכול רשויות נגב מזרחי        
2009,יובל,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,עמק חולה,640,638,633,2,אשכול רשויות גליל מזרחי       
1226,יובלים,הצפון,עכו,יישובים קהילתיים,משגב,אזור שפרעם,"1,088","1,088","1,077",-,אשכול רשויות בית הכרם הגלילי  
1112,יודפת,הצפון,עכו,מושבים שיתופיים,משגב,אזור שפרעם,906,905,868,1,אשכול רשויות בית הכרם הגלילי  
4007,יונתן,הצפון,גולן,מושבים שיתופיים,גולן,גולן תיכוני,770,770,770,-,אשכול רשויות גליל מזרחי       
803,יושיביה,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,700,699,698,1,אשכול רשויות נגב מערבי        
452,יזרעאל,הצפון,יזרעאל,קיבוצים,הגלבוע,עמק יזרעאל,552,552,530,-,אשכול רשויות הגליל והעמקים    
409,יחיעם,הצפון,עכו,קיבוצים,מטה אשר,אזור יחיעם,720,720,700,-,אשכול רשויות גליל מערבי       
866,יטבתה,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,721,721,700,-,אשכול רשויות נגב מזרחי        
3607,"ייט""ב",יהודה והשומרון,,מושבים שיתופיים,ערבות הירדן,,323,323,296,-,אשכול יהודה ושומרון           
811,יכיני,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,שער הנגב,אזור אשקלון,725,724,723,1,אשכול רשויות נגב מערבי        
1772,ים המלח - בתי מלון,הדרום,באר שבע,מוקד תעסוקה,תמר,אזור ים המלח,-,-,-,-,
753,ינוב,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,לב השרון,מערב השרון,931,931,918,-,אשכול רשויות השרון            
2011,ינון,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,212","1,210","1,207",2,אשכול רשויות שורק דרומי       
29,יסוד המעלה,הצפון,צפת,יישובים כפריים אחרים יהודיים,מועצה מקומית,עמק חולה,"1,761","1,761","1,727",-,אשכול רשויות גליל מזרחי       
440,יסודות,המרכז,רחובות,מושבים שיתופיים,נחל שורק,אזור רחובות,992,992,992,-,אשכול רשויות שורק דרומי       
