,en_name,district,2020_population
796,The Sharon Guard,המרכז,622
797,shifts,חיפה,"1,117"
798,shift,המרכז,"1,044"
799,prop,הדרום,"1,071"
800,giving,המרכז,"3,631"
801,gift,הצפון,220
802,Matityahu,יהודה והשומרון,898
803,Navot Golan,הצפון,636
804,Adequate square,הדרום,441
805,Neot Hovav,הדרום,-
806,Neot Mordechai,הצפון,650
807,Neat Samdar,הדרום,229
808,Naora,הצפון,"2,347"
809,sprouts,הדרום,"1,053"
810,charged,הדרום,962
811,disgusted,יהודה והשומרון,376
812,Norah,הדרום,"1,184"
813,praised,הצפון,"1,181"
814,Nahariya,הצפון,"59,155"
815,Nov,הצפון,995
816,Venus,הדרום,580
817,Neve,הדרום,"1,314"
818,Neve Avot,חיפה,50
819,Neve Or,הצפון,350
820,Neve Ativ,הצפון,127
821,Neve Ilan,ירושלים,985
822,Neve Ilan*,ירושלים,-
823,Neve Eitan,הצפון,301
824,Neve Daniel,יהודה והשומרון,"2,340"
825,Neve Zohar,הדרום,54
826,Neve Ziv,הצפון,974
827,Neve spicy,הדרום,103
828,Neve Yam,חיפה,237
829,Neve Yemin,המרכז,"1,078"
830,Neve Yerak,המרכז,"1,279"
831,Neve Mefet,הדרום,701
832,Neve Michael,ירושלים,877
833,Neve Tsov,יהודה והשומרון,"1,494"
834,Neve Shalom,ירושלים,332
835,pleasantness,הדרום,363
836,Nof Ayalon,המרכז,"2,080"
837,The view of the Galilee,הצפון,"41,939"
838,landscapes,יהודה והשומרון,949
839,scenic,חיפה,"2,597"
840,garnet,המרכז,605
841,dots,יהודה והשומרון,"2,590"
842,Nordic,המרכז,"2,233"
843,Lightbulb,הצפון,213
844,copper,ירושלים,"1,496"
845,Nahal Oz,הדרום,468
846,inheritance,הדרום,711
847,Nahaliel,יהודה והשומרון,735
848,streams,המרכז,"1,848"
849,Naham,ירושלים,548
850,floated,הצפון,"13,331"
851,surges,חיפה,695
852,Nachshon,ירושלים,588
853,Nachshonim,המרכז,418
854,planted,הצפון,303
855,sentinel,הצפון,872
856,planted,הדרום,674
857,planted,המרכז,628
858,myrrh,ירושלים,459
859,No,הצפון,"1,898"
860,NIL,יהודה והשומרון,"1,848"
861,Use,הדרום,"2,573"
862,Nitzan B,הדרום,444
863,Nitsana (community of education),הדרום,348
864,Chinese buds,הדרום,286
865,Oz buds,המרכז,"1,110"
866,buds,הדרום,524
867,Nir Eliyahu,המרכז,562
868,Nir Binim,הדרום,745
869,Nir Galim,המרכז,"1,408"
870,Nir David (Tel Amal),הצפון,740
871,Nir Khan,הדרום,563
872,Nir is beautiful,הצפון,725
873,Nir Yitzhak,הדרום,640
874,Nir Israel,הדרום,888
875,Nir Moshe,הדרום,593
876,Nir Oz,הדרום,386
877,Nir with,הדרום,644
878,Nir Etzion,חיפה,967
879,Nir Akiva,הדרום,666
880,Nir Tzvi,המרכז,"1,283"
881,Nirim,הדרום,370
882,Nirit,המרכז,936
883,Ben Gurion Airport,המרכז,-
884,Nimrod,הצפון,-
885,A mountain miracle,ירושלים,"1,451"
886,A miracle of nations,הצפון,429
887,Ness Ziona,המרכז,"50,706"
888,youth,המרכז,413
889,superior,יהודה והשומרון,"2,343"
890,NAMA,יהודה והשומרון,169
891,naan,המרכז,"1,761"
892,Nern,יהודה והשומרון,105
893,Hazani's scion,המרכז,503
894,Descendant of Sarni,המרכז,909
895,Nazareth,הצפון,"77,791"
896,Nesher,חיפה,"24,039"
897,The battalion route,יהודה והשומרון,222
898,The path of the Lord,ירושלים,662
899,Enrichment path,הדרום,886
900,the convoy route,הצפון,492
901,routes,הדרום,"39,703"
902,Netanya,המרכז,"222,129"
903,Sajor,הצפון,"4,358"
904,Sasa,הצפון,402
905,groundsel*,המרכז,"4,023"
906,virtue,הדרום,732
907,Suaed (Khamriya)*,הצפון,197
908,ladder,הצפון,"2,640"
909,a horse,יהודה והשומרון,"1,237"
910,storm,הדרום,216
911,Sakhenin,הצפון,"32,194"
912,Selma,הצפון,"3,402"
913,rocky,יהודה והשומרון,"1,409"
914,Samar,הדרום,276
915,Sensena,יהודה והשומרון,577
916,welfare,הדרום,845
917,Sava,הדרום,"2,001"
918,storm,הצפון,875
919,sapphire,הדרום,484
920,secret,המרכז,"1,102"
921,Abdon,הצפון,677
922,Evron,הצפון,859
923,crane,ירושלים,540
924,Ajar,הצפון,"2,702"
925,until now,הדרום,-
926,jewel,הצפון,"1,858"
927,Edens,המרכז,517
928,Uza,הדרום,434
929,Uzir,הצפון,"3,364"
930,chicory,המרכז,"1,163"
931,Omar,הדרום,"7,569"
932,Ofer,חיפה,663
933,power,הדרום,727
934,mighty,הדרום,77
935,helped,הדרום,807
936,Asriel,המרכז,865
937,Azaria,המרכז,"1,246"
938,Ezrikem,הדרום,"1,504"
939,crown,יהודה והשומרון,943
940,Idan,הדרום,393
941,The era of the Negev,הדרום,-
942,Aylabon,הצפון,"5,787"
943,springs,המרכז,412
944,Ilot,הצפון,"8,537"
945,Ain Ayala,חיפה,"1,151"
946,Ain al-Assad,הצפון,885
947,Ein Gev,הצפון,672
948,Ein Gedi,הדרום,592
949,Ein Dor,הצפון,"1,045"
950,Eye of the Gospel,הדרום,"1,106"
951,Ein Hod,חיפה,651
952,The eye of the forest,המרכז,847
953,Eye of the Bay,הצפון,"1,258"
954,Eye of the commissioner,הצפון,610
955,Eye of the valley,הצפון,821
956,the judge's eye,הצפון,837
957,Eye of the Three,הדרום,367
958,Rose eye,המרכז,"1,545"
959,Ein Zivan,הצפון,387
960,sharp eye,חיפה,315
961,Measles eye,הדרום,-
962,Ein Harod (unification),הצפון,541
963,Ein Harod (United),הצפון,777
964,Ein Yahav,הדרום,772
965,Ein Yaakov,הצפון,"1,185"
966,Ein Kerem - agricultural school,ירושלים,162
967,Ein Carmel,חיפה,923
968,Ein Mahal,הצפון,"13,568"
969,Ein Nakoba,ירושלים,"3,585"
970,Ein Iron,חיפה,544
971,Ein Tzorim,הדרום,809
972,Ein Kaniya,הצפון,"2,139"
973,Ein Rapha,ירושלים,"1,251"
974,Ein Shemer,חיפה,585
975,Ein Sharid,המרכז,"1,615"
976,Ein Tamar,הדרום,197
977,Einat,המרכז,828
978,Ovot city,הדרום,-
979,Acre,הצפון,"49,502"
980,youth,הדרום,520
981,pestle,יהודה והשומרון,"4,600"
982,Gold leaves,יהודה והשומרון,"3,828"
983,What,הצפון,707
984,Almon,יהודה והשומרון,"1,441"
985,deep,הצפון,137
986,Amichai,יהודה והשומרון,208
987,Aminadav,ירושלים,"1,098"
988,Amiad,הצפון,461
989,Amiauz,הדרום,205
990,Amikam,חיפה,770
991,Amir,הצפון,598
992,Emmanuel,יהודה והשומרון,"4,128"
993,deep,הצפון,794
994,grape,יהודה והשומרון,925
995,Asafia,חיפה,"12,613"
996,Afula,הצפון,"56,770"
997,ore,יהודה והשומרון,"3,012"
998,Ephraim tree,יהודה והשומרון,"2,460"
999,Atzmon Segev,הצפון,"1,166"
1000,Araba,הצפון,"26,252"
1001,Aramsha*,הצפון,"1,727"
1002,A pleasant evening,הצפון,826
1003,Earth,הדרום,"27,207"
1004,beds,הדרום,"1,154"
1005,appealed,חיפה,"25,531"
1006,Appeal-Bangev,הדרום,"18,951"
1007,ten,המרכז,989
1008,Atlit,חיפה,"9,732"
1009,Atniel,יהודה והשומרון,980
1010,Paran,הדרום,508
1011,Safirim Industries Park,הדרום,-
1012,Emek Hafer Industrial Park,המרכז,-
1013,Pedual,יהודה והשומרון,"2,044"
1014,redeemed,הדרום,519
1015,Payday,המרכז,836
1016,Pouridis,חיפה,"13,450"
1017,Poriya - a working village,הצפון,371
1018,Furia - Neve Oved,הצפון,"1,265"
1019,High fertility,הצפון,"1,182"
1020,Porat,המרכז,"1,278"
1021,hammer,הדרום,965
1022,spindle,הצפון,182
1023,Palmach,המרכז,745
1024,face friend,יהודה והשומרון,678
1025,peaks,יהודה והשומרון,"2,037"
1026,Misleading,הצפון,"3,181"
1027,times 5777,הדרום,572
1028,Fetzel,יהודה והשומרון,322
1029,Paki'in (Bukiyeh),הצפון,"5,976"
1030,New bankruptcy,הצפון,584
1031,Pardes Hana,חיפה,"43,760"
1032,an orchard,המרכז,"6,641"
1033,separated,הצפון,609
1034,Parson,הצפון,363
1035,garden fruit,הדרום,244
1036,Petah Tikva,המרכז,"250,484"
1037,its openings,המרכז,852
1038,onions,הדרום,468
1039,Deer,הצפון,335
1040,tulip,הצפון,305
1041,Tsova,ירושלים,614
1042,snoring,הדרום,469
1043,scouting,המרכז,-
1044,scouts,יהודה והשומרון,"2,433"
1045,scout,המרכז,"1,319"
1046,horn,הדרום,466
1047,sea ​​cliffs,המרכז,286
1048,cliffs,הדרום,342
1049,Tzur Hadassah,ירושלים,"11,584"
1050,Contact Isaac,המרכז,"6,584"
1051,Tzur Moshe,המרכז,"3,313"
1052,Tzur Natan,המרכז,307
1053,Zuriel,הצפון,374
1054,formal,הצפון,917
1055,birds,הצפון,985
1056,cell phone,ירושלים,"1,075"
1057,Sandal,הצפון,"1,670"
1058,ornithology,המרכז,"1,034"
1059,hornbills,ירושלים,412
1060,Zefat,הצפון,"36,060"
1061,pure,חיפה,"1,122"
1062,wasp,ירושלים,940
1063,Yavneh Group,המרכז,964
1064,Ancients,יהודה והשומרון,"4,586"
1065,"Come on, Zoran",המרכז,"22,716"
1066,foreground,הדרום,-
1067,In front of a deer,הצפון,512
1068,potter,יהודה והשומרון,"1,619"
1069,Kedron,המרכז,"1,604"
1070,potters,הצפון,289
1071,independence,הדרום,551
1072,thyme,הצפון,922
1073,incense,הדרום,488
1074,Caesarea,חיפה,"5,561"
1075,cobs,הדרום,656
1076,toasting,יהודה והשומרון,464
1077,Kalanswa,המרכז,"23,512"
1078,slingshot,הצפון,336
1079,harvesting,חיפה,"2,952"
1080,short a-ser,הדרום,"2,593"
1081,Katzrin,הצפון,"7,500"
1082,Kiryat Ono,תל אביב,"40,834"
1083,Kiryat Arba,יהודה והשומרון,"7,338"
1084,Kiryat Ata,חיפה,"59,364"
1085,Kiryat Bialik,חיפה,"41,913"
1086,Qiryat Gat,הדרום,"58,481"
1087,Kiryat Shchivan Merhavim*,הדרום,-
1088,Kiryat Tivon,חיפה,"18,313"
1089,Kiryat Yam,חיפה,"39,458"
1090,Kiryat Yarim,ירושלים,"6,239"
1091,Kiryat Yaarim (institution),ירושלים,165
1092,Kiryat Motzkin,חיפה,"45,463"
1093,Kiryat Malachi,הדרום,"24,385"
1094,Kiryat Natafim,יהודה והשומרון,964
1095,Grape picking,ירושלים,466
1096,Kiryat Ekron,המרכז,"11,077"
1097,Kiryat Shlomo,המרכז,232
1098,Kiryat Shmona,הצפון,"22,363"
1099,Kiryat Shinoch Gaza,הדרום,-
1100,Kiryat Aviation,המרכז,-
1101,Horns of Samaria,יהודה והשומרון,"9,417"
1102,Rainbow,הצפון,842
1103,Rama,הצפון,"7,791"
1104,Ras al-Ain,הצפון,397
1105,Ras Ali,חיפה,652
1106,Rosh HaAyin,המרכז,"67,624"
1107,Rosh Pina,הצפון,"3,217"
1108,Tzorim head,יהודה והשומרון,947
1109,Rishon Lezion,המרכז,"256,055"
1110,myriad,יהודה והשומרון,"2,786"
1111,strata,הדרום,817
1112,many,הדרום,"1,085"
1113,necklace,הצפון,138
1114,rugby,הצפון,"1,123"
1115,Regevs,חיפה,506
1116,trough,הדרום,"73,768"
1117,Welfare,הדרום,562
1118,saturation,הצפון,444
1119,desert wind,הדרום,69
1120,Ruhama,הדרום,722
1121,Romana,הצפון,"1,239"
1122,Rumat Hiev,הצפון,"2,093"
1123,Roy,יהודה והשומרון,170
1124,Rotem,יהודה והשומרון,242
1125,Street,הצפון,403
1126,streets,המרכז,"146,095"
1127,Rachel,יהודה והשומרון,906
1128,Rihaniya,הצפון,"1,218"
1129,basil,יהודה והשומרון,352
1130,Reina,הצפון,"19,142"
1131,pomegranates,יהודה והשומרון,698
1132,Rintia,המרכז,"1,182"
1133,ridges,חיפה,"13,266"
1134,Ram-on,הצפון,986
1135,levels,הצפון,531
1136,The return levels,המרכז,"1,709"
1137,Ramot Meir,המרכז,750
1138,Ramot Menashe,הצפון,"1,211"
1139,Ramot Naftali,הצפון,538
1140,Ramla,המרכז,"76,986"
1141,Ramat Gan,תל אביב,"167,556"
1142,Ramat David,הצפון,540
1143,the level of the conqueror,המרכז,"1,151"
1144,Judge level,הצפון,"1,124"
1145,Ramat Hasharon,תל אביב,"47,510"
1146,Ramat Yohanan,חיפה,"1,016"
1147,Ramat Yishai,הצפון,"7,897"
1148,fulfillment level,הצפון,755
1149,Ramat Zvi,הצפון,747
1150,Ramat Raziel,ירושלים,662
1151,Ramat Rachel,ירושלים,563
1152,Renan,הדרום,716
1153,are bad,הדרום,428
1154,fresh,המרכז,"76,278"
1155,cyclamen,הצפון,"1,049"
1156,Rashpon,המרכז,"1,456"
1157,Resheph,הצפון,"1,153"
1158,harnesses,הדרום,584
1159,rest of the settlement,הצפון,655
1160,Shave South,הדרום,253
1161,Shavei Tzion,הצפון,"1,227"
1162,Shavi Samaria,יהודה והשומרון,"1,031"
1163,Shabli - Umm Al-Ganam,הצפון,"6,152"
1164,Segev-Shalom,הדרום,"11,364"
1165,Sde Ilan,הצפון,648
1166,Sde Eliyahu,הצפון,705
1167,Eliezer Field,הצפון,828
1168,Sde Boker,הדרום,449
1169,Field of David,הדרום,587
1170,Warburg Field,המרכז,"1,441"
1171,Sde Yoav,הדרום,598
1172,Sde Jacob,הצפון,"1,096"
1173,Sde Yitzhak,חיפה,714
1174,Field of Moses,הדרום,778
1175,Sde Nahum,הצפון,912
1176,Sde Nehemiah,הצפון,"1,265"
1177,Field Nitzan,הדרום,357
1178,Uzziah Field,הדרום,"1,598"
1179,Deer field,הדרום,653
1180,Sea fields,חיפה,"1,108"
1181,Micah fields,ירושלים,382
1182,Abraham's demons,הדרום,360
1183,I'm greedy,המרכז,982
1184,Demons of donations,הצפון,459
1185,that pretended,המרכז,591
1186,that the figure of a bee,הצפון,687
1187,that a figure is sick,יהודה והשומרון,665
1188,Sderot,הדרום,"29,075"
1189,vacuum cleaner,ירושלים,613
1190,captive,הדרום,704
1191,trail,הדרום,846
1192,onyx,המרכז,"21,014"
1193,keeper,הצפון,367
1194,Samaria,הדרום,836
1195,Shukda,הדרום,606
1196,root,ירושלים,"1,215"
1197,roots,הצפון,542
1198,lily of the valley,המרכז,490
1199,interwoven,הצפון,326
1200,Dawn,הדרום,895
1201,dawn,הדרום,172
1202,oats,הדרום,286
1203,methods,הדרום,-
1204,Sheikh Danon,הצפון,"2,944"
1205,Sheila,יהודה והשומרון,"4,483"
1206,Shilot,המרכז,787
1207,her neighbor,הצפון,802
1208,peace,הדרום,547
1209,Peace in the desert,הדרום,-
1210,extensions,הצפון,428
1211,my peace,הצפון,"6,754"
1212,Shlomit,הדרום,394
1213,Shlomzion,יהודה והשומרון,-
1214,dill,הצפון,923
1215,heard,יהודה והשומרון,812
1216,you kept,הצפון,640
1217,umbrella,הצפון,"2,517"
1218,Crimson,הדרום,548
1219,Schnir,הצפון,609
1220,Shaev,הצפון,"7,228"
1221,on,הצפון,306
1222,Shallows,המרכז,"1,909"
1223,Shaar Ephraim,המרכז,"1,920"
1224,Golan Gate,הצפון,541
1225,The Gate of the Valleys,חיפה,763
1226,Shaar Manasseh,חיפה,527
1227,Gates of hope,יהודה והשומרון,"6,056"
1228,sane,המרכז,"1,328"
1229,benign,הדרום,924
1230,improve,הצפון,442
1231,Shafram,הצפון,"42,510"
1232,Almond,יהודה והשומרון,"1,018"
1233,Slide,הדרום,570
1234,Sharona,הצפון,573
1235,Shrigs (Lee-on),ירושלים,"1,062"
1236,remnant,הצפון,899
1237,chain,הדרום,335
1238,planted,הצפון,286
1239,planted,הדרום,"2,091"
1240,boxwood,הדרום,436
1241,gallop,הדרום,677
1242,Seasoned,הצפון,315
1243,Tomer,יהודה והשומרון,287
1244,resourcefulness,הדרום,842
1245,Tamarinds,הדרום,762
1246,Distilled,ירושלים,457
1247,Tel Aviv Jaffa,תל אביב,"463,808"
1248,Tel Hai (college),הצפון,-
1249,Tel Yosef,הצפון,559
1250,Tel Yitzhak,המרכז,803
1251,Tel Mond,המרכז,"13,493"
1252,A mound of lentils,הצפון,"1,501"
1253,harvest mound,הצפון,462
1254,Tel Sheva,הדרום,"21,554"
1255,Twin mounds,הצפון,606
1256,rut,יהודה והשומרון,478
1257,Ptolemy Eliyahu,הדרום,321
1258,Ptolemy Elazar,חיפה,964
1259,Ptolemy BILO,הדרום,528
1260,Ptolemy Yosef,הדרום,324
1261,Ptolemy Yehiel,הדרום,"1,021"
1262,Ptolemy is beautiful,הדרום,812
1263,furrows,הדרום,919
1264,you changed,הצפון,"1,274"
1265,yields,המרכז,830
1266,dare,ירושלים,634
1267,Binyamin Industry*,המרכז,-
1268,Dalton Industry,הצפון,-
1269,Sharon Industrial,המרכז,-
1270,Yavne Rope Industry,המרכז,-
1271,Quarry Industry*,המרכז,-
1272,Industrial Operation*,הדרום,-
1273,String industry,יהודה והשומרון,-
1274,Zirifin Industry,המרכז,-
1275,Ram Industry*,הדרום,-
1276,Industrial Co. Ltd,יהודה והשומרון,-
1277,Lower Galil Industries,הצפון,-
1278,you will flower,הדרום,"2,268"
1279,rebirth,הדרום,741
1280,stuck,יהודה והשומרון,"4,168"
1281,Tarbin a-Tsana (locality)*,הדרום,"1,183"
1282,donate,ירושלים,962
1283,in,,
